answer,description,object,options,raw,type,formatted_options,transformed_sent
Choose,Выберите слово,Choose,"['Choosing', 'Decide', 'Choose']",Choose one of them for your wife.,select_word,"<select class=""form-select"" id=""s59"" onchange=""myFunction('Choose', 's59', 'p59')""><option selected>–––</option><option value=""Choosing"">Choosing</option><option value=""Decide"">Decide</option><option value=""Choose"">Choose</option></select>","<select class=""form-select"" id=""s59"" onchange=""myFunction('Choose', 's59', 'p59')""><option selected>–––</option><option value=""Choosing"">Choosing</option><option value=""Decide"">Decide</option><option value=""Choose"">Choose</option></select> one of them for your wife."
refuse,Заполните пропуск,refuse,[],When she hears what you have done for me she will not refuse you.,missing_word,"<input class=""form-control"" type=""text"" id=""t60"" onchange=""myFunction('refuse', 't60', 'p60')"">","When she hears what you have done for me she will not <input class=""form-control"" type=""text"" id=""t60"" onchange=""myFunction('refuse', 't60', 'p60')""> you."
little,Выберите слово,little,"['much', 'little', 'bit']","You do look a little strange, to be sure, but she will put you in order again.""",select_word,"<select class=""form-select"" id=""s61"" onchange=""myFunction('little', 's61', 'p61')""><option selected>–––</option><option value=""much"">much</option><option value=""little"">little</option><option value=""bit"">bit</option></select>","You do look a <select class=""form-select"" id=""s61"" onchange=""myFunction('little', 's61', 'p61')""><option selected>–––</option><option value=""much"">much</option><option value=""little"">little</option><option value=""bit"">bit</option></select> strange, to be sure, but she will put you in order again."""
"This pleased Bearskin well, and he went with the old man.",Какое предложение верно?,"This pleased Bearskin well, and he went with the old man.","['This worried Bearskin victimy, and he forced with the 11-year victim.', 'This pleased Bearskin well, and he went with the old man.', 'This surprised Bearskin as, and he gone with the 22-year one.']","This pleased Bearskin well, and he went with the old man.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r62-0"" name=""rname62"" 
                                     onchange='myFunction(""This pleased Bearskin well, and he went with the old man."", ""r62-0"", ""p62"")'
                                     value=""This worried Bearskin victimy, and he forced with the 11-year victim."">
                                   <label class=""form-check-label"" for=""r62-0"">This worried Bearskin victimy, and he forced with the 11-year victim.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r62-1"" name=""rname62"" 
                                     onchange='myFunction(""This pleased Bearskin well, and he went with the old man."", ""r62-1"", ""p62"")'
                                     value=""This pleased Bearskin well, and he went with the old man."">
                                   <label class=""form-check-label"" for=""r62-1"">This pleased Bearskin well, and he went with the old man.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r62-2"" name=""rname62"" 
                                     onchange='myFunction(""This pleased Bearskin well, and he went with the old man."", ""r62-2"", ""p62"")'
                                     value=""This surprised Bearskin as, and he gone with the 22-year one."">
                                   <label class=""form-check-label"" for=""r62-2"">This surprised Bearskin as, and he gone with the 22-year one.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r62-0"" name=""rname62"" 
                                     onchange='myFunction(""This pleased Bearskin well, and he went with the old man."", ""r62-0"", ""p62"")'
                                     value=""This worried Bearskin victimy, and he forced with the 11-year victim."">
                                   <label class=""form-check-label"" for=""r62-0"">This worried Bearskin victimy, and he forced with the 11-year victim.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r62-1"" name=""rname62"" 
                                     onchange='myFunction(""This pleased Bearskin well, and he went with the old man."", ""r62-1"", ""p62"")'
                                     value=""This pleased Bearskin well, and he went with the old man."">
                                   <label class=""form-check-label"" for=""r62-1"">This pleased Bearskin well, and he went with the old man.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r62-2"" name=""rname62"" 
                                     onchange='myFunction(""This pleased Bearskin well, and he went with the old man."", ""r62-2"", ""p62"")'
                                     value=""This surprised Bearskin as, and he gone with the 22-year one."">
                                   <label class=""form-check-label"" for=""r62-2"">This surprised Bearskin as, and he gone with the 22-year one.
                                   </label></div>"
saw,Выберите слово,saw,"['came', 'saw', 'when']",When the oldest daughter saw him she was so terrified at his face that she screamed and ran away.,select_word,"<select class=""form-select"" id=""s63"" onchange=""myFunction('saw', 's63', 'p63')""><option selected>–––</option><option value=""came"">came</option><option value=""saw"">saw</option><option value=""when"">when</option></select>","When the oldest daughter <select class=""form-select"" id=""s63"" onchange=""myFunction('saw', 's63', 'p63')""><option selected>–––</option><option value=""came"">came</option><option value=""saw"">saw</option><option value=""when"">when</option></select> him she was so terrified at his face that she screamed and ran away."
stood,Выберите слово,stood,"['standing', 'stands', 'stood']","The second one stood still and looked at him from head to foot, but then she said, ""How can I accept a husband who no longer has a human form?",select_word,"<select class=""form-select"" id=""s64"" onchange=""myFunction('stood', 's64', 'p64')""><option selected>–––</option><option value=""standing"">standing</option><option value=""stands"">stands</option><option value=""stood"">stood</option></select>","The second one <select class=""form-select"" id=""s64"" onchange=""myFunction('stood', 's64', 'p64')""><option selected>–––</option><option value=""standing"">standing</option><option value=""stands"">stands</option><option value=""stood"">stood</option></select> still and looked at him from head to foot, but then she said, ""How can I accept a husband who no longer has a human form?"
here,Выберите слово,here,"['today', 'here', 'come']",The shaved bear that once was here and passed itself off for a man pleased me far better.,select_word,"<select class=""form-select"" id=""s65"" onchange=""myFunction('here', 's65', 'p65')""><option selected>–––</option><option value=""today"">today</option><option value=""here"">here</option><option value=""come"">come</option></select>","The shaved bear that once was <select class=""form-select"" id=""s65"" onchange=""myFunction('here', 's65', 'p65')""><option selected>–––</option><option value=""today"">today</option><option value=""here"">here</option><option value=""come"">come</option></select> and passed itself off for a man pleased me far better."
hussar,Заполните пропуск,hussar,[],At least it was wearing a hussar's fur and white gloves.,missing_word,"<input class=""form-control"" type=""text"" id=""t66"" onchange=""myFunction('hussar', 't66', 'p66')"">","At least it was wearing a <input class=""form-control"" type=""text"" id=""t66"" onchange=""myFunction('hussar', 't66', 'p66')"">'s fur and white gloves."
"If ugliness were his only flaw, I could get used to him.""",Какое предложение верно?,"If ugliness were his only flaw, I could get used to him.""","['If ugliness were his only flaw, I could get used to him.""', 'If nastiness were his almost shortcoming, I could get using to him.""', 'If nastiness were his though glitch, I could get uses to him.""']","If ugliness were his only flaw, I could get used to him.""",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r67-0"" name=""rname67"" 
                                     onchange='myFunction(""If ugliness were his only flaw, I could get used to him.\&quot;"", ""r67-0"", ""p67"")'
                                     value=""If ugliness were his only flaw, I could get used to him.&quot;"">
                                   <label class=""form-check-label"" for=""r67-0"">If ugliness were his only flaw, I could get used to him.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r67-1"" name=""rname67"" 
                                     onchange='myFunction(""If ugliness were his only flaw, I could get used to him.\&quot;"", ""r67-1"", ""p67"")'
                                     value=""If nastiness were his almost shortcoming, I could get using to him.&quot;"">
                                   <label class=""form-check-label"" for=""r67-1"">If nastiness were his almost shortcoming, I could get using to him.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r67-2"" name=""rname67"" 
                                     onchange='myFunction(""If ugliness were his only flaw, I could get used to him.\&quot;"", ""r67-2"", ""p67"")'
                                     value=""If nastiness were his though glitch, I could get uses to him.&quot;"">
                                   <label class=""form-check-label"" for=""r67-2"">If nastiness were his though glitch, I could get uses to him.""
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r67-0"" name=""rname67"" 
                                     onchange='myFunction(""If ugliness were his only flaw, I could get used to him.\&quot;"", ""r67-0"", ""p67"")'
                                     value=""If ugliness were his only flaw, I could get used to him.&quot;"">
                                   <label class=""form-check-label"" for=""r67-0"">If ugliness were his only flaw, I could get used to him.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r67-1"" name=""rname67"" 
                                     onchange='myFunction(""If ugliness were his only flaw, I could get used to him.\&quot;"", ""r67-1"", ""p67"")'
                                     value=""If nastiness were his almost shortcoming, I could get using to him.&quot;"">
                                   <label class=""form-check-label"" for=""r67-1"">If nastiness were his almost shortcoming, I could get using to him.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r67-2"" name=""rname67"" 
                                     onchange='myFunction(""If ugliness were his only flaw, I could get used to him.\&quot;"", ""r67-2"", ""p67"")'
                                     value=""If nastiness were his though glitch, I could get uses to him.&quot;"">
                                   <label class=""form-check-label"" for=""r67-2"">If nastiness were his though glitch, I could get uses to him.""
                                   </label></div>"
 , , , ,"The youngest one, however, said, ""Father, dear, he must be a good man to have helped you out of your trouble.", , ,"The youngest one, however, said, ""Father, dear, he must be a good man to have helped you out of your trouble."
promised,Заполните пропуск,promised,[],"If you promised him a bride for doing so, your word must be kept.""",missing_word,"<input class=""form-control"" type=""text"" id=""t69"" onchange=""myFunction('promised', 't69', 'p69')"">","If you <input class=""form-control"" type=""text"" id=""t69"" onchange=""myFunction('promised', 't69', 'p69')""> him a bride for doing so, your word must be kept."""
heard,Выберите слово,heard,"['loud', 'hear', 'heard']","It was a pity that Bearskin's face was covered with dirt and hair, for otherwise they would have seen how his heart laughed within his body when he heard these words.",select_word,"<select class=""form-select"" id=""s70"" onchange=""myFunction('heard', 's70', 'p70')""><option selected>–––</option><option value=""loud"">loud</option><option value=""hear"">hear</option><option value=""heard"">heard</option></select>","It was a pity that Bearskin's face was covered with dirt and hair, for otherwise they would have seen how his heart laughed within his body when he <select class=""form-select"" id=""s70"" onchange=""myFunction('heard', 's70', 'p70')""><option selected>–––</option><option value=""loud"">loud</option><option value=""hear"">hear</option><option value=""heard"">heard</option></select> these words."
broke,Выберите слово,broke,"['break', 'breaking', 'broke']","He took a ring from his finger, broke it in two, and gave her one half.",select_word,"<select class=""form-select"" id=""s71"" onchange=""myFunction('broke', 's71', 'p71')""><option selected>–––</option><option value=""break"">break</option><option value=""breaking"">breaking</option><option value=""broke"">broke</option></select>","He took a ring from his finger, <select class=""form-select"" id=""s71"" onchange=""myFunction('broke', 's71', 'p71')""><option selected>–––</option><option value=""break"">break</option><option value=""breaking"">breaking</option><option value=""broke"">broke</option></select> it in two, and gave her one half."
other,Выберите слово,other,"['those', 'many', 'other']",He kept the other half himself.,select_word,"<select class=""form-select"" id=""s72"" onchange=""myFunction('other', 's72', 'p72')""><option selected>–––</option><option value=""those"">those</option><option value=""many"">many</option><option value=""other"">other</option></select>","He kept the <select class=""form-select"" id=""s72"" onchange=""myFunction('other', 's72', 'p72')""><option selected>–––</option><option value=""those"">those</option><option value=""many"">many</option><option value=""other"">other</option></select> half himself."
"He then wrote his name inside her half, and her name inside his.",Какое предложение верно?,"He then wrote his name inside her half, and her name inside his.","['He then wrote his name inside her half, and her name inside his.', 'He when book his word inside her almost, and her word inside his.', 'He again book his word inside her cut, and her word inside his.']","He then wrote his name inside her half, and her name inside his.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r73-0"" name=""rname73"" 
                                     onchange='myFunction(""He then wrote his name inside her half, and her name inside his."", ""r73-0"", ""p73"")'
                                     value=""He then wrote his name inside her half, and her name inside his."">
                                   <label class=""form-check-label"" for=""r73-0"">He then wrote his name inside her half, and her name inside his.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r73-1"" name=""rname73"" 
                                     onchange='myFunction(""He then wrote his name inside her half, and her name inside his."", ""r73-1"", ""p73"")'
                                     value=""He when book his word inside her almost, and her word inside his."">
                                   <label class=""form-check-label"" for=""r73-1"">He when book his word inside her almost, and her word inside his.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r73-2"" name=""rname73"" 
                                     onchange='myFunction(""He then wrote his name inside her half, and her name inside his."", ""r73-2"", ""p73"")'
                                     value=""He again book his word inside her cut, and her word inside his."">
                                   <label class=""form-check-label"" for=""r73-2"">He again book his word inside her cut, and her word inside his.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r73-0"" name=""rname73"" 
                                     onchange='myFunction(""He then wrote his name inside her half, and her name inside his."", ""r73-0"", ""p73"")'
                                     value=""He then wrote his name inside her half, and her name inside his."">
                                   <label class=""form-check-label"" for=""r73-0"">He then wrote his name inside her half, and her name inside his.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r73-1"" name=""rname73"" 
                                     onchange='myFunction(""He then wrote his name inside her half, and her name inside his."", ""r73-1"", ""p73"")'
                                     value=""He when book his word inside her almost, and her word inside his."">
                                   <label class=""form-check-label"" for=""r73-1"">He when book his word inside her almost, and her word inside his.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r73-2"" name=""rname73"" 
                                     onchange='myFunction(""He then wrote his name inside her half, and her name inside his."", ""r73-2"", ""p73"")'
                                     value=""He again book his word inside her cut, and her word inside his."">
                                   <label class=""form-check-label"" for=""r73-2"">He again book his word inside her cut, and her word inside his.
                                   </label></div>"
good,Заполните пропуск,good,[],He asked her to take good care of her piece.,missing_word,"<input class=""form-control"" type=""text"" id=""t74"" onchange=""myFunction('good', 't74', 'p74')"">","He asked her to take <input class=""form-control"" type=""text"" id=""t74"" onchange=""myFunction('good', 't74', 'p74')""> care of her piece."
saying,Заполните пропуск,saying,[],"Then he took leave saying, ""I must wander about for three more years.",missing_word,"<input class=""form-control"" type=""text"" id=""t75"" onchange=""myFunction('saying', 't75', 'p75')"">","Then he took leave <input class=""form-control"" type=""text"" id=""t75"" onchange=""myFunction('saying', 't75', 'p75')"">, ""I must wander about for three more years."
dead,Выберите слово,dead,"['killed', 'wounded', 'dead']","If I do not return at that time you are free, for I shall be dead.",select_word,"<select class=""form-select"" id=""s76"" onchange=""myFunction('dead', 's76', 'p76')""><option selected>–––</option><option value=""killed"">killed</option><option value=""wounded"">wounded</option><option value=""dead"">dead</option></select>","If I do not return at that time you are free, for I shall be <select class=""form-select"" id=""s76"" onchange=""myFunction('dead', 's76', 'p76')""><option selected>–––</option><option value=""killed"">killed</option><option value=""wounded"">wounded</option><option value=""dead"">dead</option></select>."
preserve,Выберите слово,preserve,"['preserve', 'protect', 'preserving']","But ask God to preserve my life.""",select_word,"<select class=""form-select"" id=""s77"" onchange=""myFunction('preserve', 's77', 'p77')""><option selected>–––</option><option value=""preserve"">preserve</option><option value=""protect"">protect</option><option value=""preserving"">preserving</option></select>","But ask God to <select class=""form-select"" id=""s77"" onchange=""myFunction('preserve', 's77', 'p77')""><option selected>–––</option><option value=""preserve"">preserve</option><option value=""protect"">protect</option><option value=""preserving"">preserving</option></select> my life."""
tears,Выберите слово,tears,"['crying', 'cried', 'tears']","The poor bride-to-be dressed herself entirely in black, and when she thought about her future bridegroom, tears came into her eyes.",select_word,"<select class=""form-select"" id=""s78"" onchange=""myFunction('tears', 's78', 'p78')""><option selected>–––</option><option value=""crying"">crying</option><option value=""cried"">cried</option><option value=""tears"">tears</option></select>","The poor bride-to-be dressed herself entirely in black, and when she thought about her future bridegroom, <select class=""form-select"" id=""s78"" onchange=""myFunction('tears', 's78', 'p78')""><option selected>–––</option><option value=""crying"">crying</option><option value=""cried"">cried</option><option value=""tears"">tears</option></select> came into her eyes."
scorn,Заполните пропуск,scorn,[],From her sisters she received nothing but contempt and scorn.,missing_word,"<input class=""form-control"" type=""text"" id=""t79"" onchange=""myFunction('scorn', 't79', 'p79')"">","From her sisters she received nothing but contempt and <input class=""form-control"" type=""text"" id=""t79"" onchange=""myFunction('scorn', 't79', 'p79')"">."
 , , , ,"""Be careful,"" said the oldest.", , ,"""Be careful,"" said the oldest."
give,Выберите слово,give,"['give', 'take', 'make']","""If you give him your hand, he will hit you with his claws.""",select_word,"<select class=""form-select"" id=""s81"" onchange=""myFunction('give', 's81', 'p81')""><option selected>–––</option><option value=""give"">give</option><option value=""take"">take</option><option value=""make"">make</option></select>","""If you <select class=""form-select"" id=""s81"" onchange=""myFunction('give', 's81', 'p81')""><option selected>–––</option><option value=""give"">give</option><option value=""take"">take</option><option value=""make"">make</option></select> him your hand, he will hit you with his claws."""
"""Beware,"" said the second.",Какое предложение верно?,"""Beware,"" said the second.","['""Warn,"" reported the fourth.', '""Fashionistas,"" added the first.', '""Beware,"" said the second.']","""Beware,"" said the second.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r82-0"" name=""rname82"" 
                                     onchange='myFunction(""\&quot;Beware,\&quot; said the second."", ""r82-0"", ""p82"")'
                                     value=""&quot;Warn,&quot; reported the fourth."">
                                   <label class=""form-check-label"" for=""r82-0"">""Warn,"" reported the fourth.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r82-1"" name=""rname82"" 
                                     onchange='myFunction(""\&quot;Beware,\&quot; said the second."", ""r82-1"", ""p82"")'
                                     value=""&quot;Fashionistas,&quot; added the first."">
                                   <label class=""form-check-label"" for=""r82-1"">""Fashionistas,"" added the first.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r82-2"" name=""rname82"" 
                                     onchange='myFunction(""\&quot;Beware,\&quot; said the second."", ""r82-2"", ""p82"")'
                                     value=""&quot;Beware,&quot; said the second."">
                                   <label class=""form-check-label"" for=""r82-2"">""Beware,"" said the second.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r82-0"" name=""rname82"" 
                                     onchange='myFunction(""\&quot;Beware,\&quot; said the second."", ""r82-0"", ""p82"")'
                                     value=""&quot;Warn,&quot; reported the fourth."">
                                   <label class=""form-check-label"" for=""r82-0"">""Warn,"" reported the fourth.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r82-1"" name=""rname82"" 
                                     onchange='myFunction(""\&quot;Beware,\&quot; said the second."", ""r82-1"", ""p82"")'
                                     value=""&quot;Fashionistas,&quot; added the first."">
                                   <label class=""form-check-label"" for=""r82-1"">""Fashionistas,"" added the first.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r82-2"" name=""rname82"" 
                                     onchange='myFunction(""\&quot;Beware,\&quot; said the second."", ""r82-2"", ""p82"")'
                                     value=""&quot;Beware,&quot; said the second."">
                                   <label class=""form-check-label"" for=""r82-2"">""Beware,"" said the second.
                                   </label></div>"
"""Bears like sweet things, and if he takes a liking to you, he will eat you up.""",Какое предложение верно?,"""Bears like sweet things, and if he takes a liking to you, he will eat you up.""","['""Eagles like spicy thing, and if he turns a dislike to you, he will sick you up.""', '""Eagles like honey thing, and if he puts a fondness to you, he will consume you up.""', '""Bears like sweet things, and if he takes a liking to you, he will eat you up.""']","""Bears like sweet things, and if he takes a liking to you, he will eat you up.""",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r83-0"" name=""rname83"" 
                                     onchange='myFunction(""\&quot;Bears like sweet things, and if he takes a liking to you, he will eat you up.\&quot;"", ""r83-0"", ""p83"")'
                                     value=""&quot;Eagles like spicy thing, and if he turns a dislike to you, he will sick you up.&quot;"">
                                   <label class=""form-check-label"" for=""r83-0"">""Eagles like spicy thing, and if he turns a dislike to you, he will sick you up.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r83-1"" name=""rname83"" 
                                     onchange='myFunction(""\&quot;Bears like sweet things, and if he takes a liking to you, he will eat you up.\&quot;"", ""r83-1"", ""p83"")'
                                     value=""&quot;Eagles like honey thing, and if he puts a fondness to you, he will consume you up.&quot;"">
                                   <label class=""form-check-label"" for=""r83-1"">""Eagles like honey thing, and if he puts a fondness to you, he will consume you up.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r83-2"" name=""rname83"" 
                                     onchange='myFunction(""\&quot;Bears like sweet things, and if he takes a liking to you, he will eat you up.\&quot;"", ""r83-2"", ""p83"")'
                                     value=""&quot;Bears like sweet things, and if he takes a liking to you, he will eat you up.&quot;"">
                                   <label class=""form-check-label"" for=""r83-2"">""Bears like sweet things, and if he takes a liking to you, he will eat you up.""
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r83-0"" name=""rname83"" 
                                     onchange='myFunction(""\&quot;Bears like sweet things, and if he takes a liking to you, he will eat you up.\&quot;"", ""r83-0"", ""p83"")'
                                     value=""&quot;Eagles like spicy thing, and if he turns a dislike to you, he will sick you up.&quot;"">
                                   <label class=""form-check-label"" for=""r83-0"">""Eagles like spicy thing, and if he turns a dislike to you, he will sick you up.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r83-1"" name=""rname83"" 
                                     onchange='myFunction(""\&quot;Bears like sweet things, and if he takes a liking to you, he will eat you up.\&quot;"", ""r83-1"", ""p83"")'
                                     value=""&quot;Eagles like honey thing, and if he puts a fondness to you, he will consume you up.&quot;"">
                                   <label class=""form-check-label"" for=""r83-1"">""Eagles like honey thing, and if he puts a fondness to you, he will consume you up.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r83-2"" name=""rname83"" 
                                     onchange='myFunction(""\&quot;Bears like sweet things, and if he takes a liking to you, he will eat you up.\&quot;"", ""r83-2"", ""p83"")'
                                     value=""&quot;Bears like sweet things, and if he takes a liking to you, he will eat you up.&quot;"">
                                   <label class=""form-check-label"" for=""r83-2"">""Bears like sweet things, and if he takes a liking to you, he will eat you up.""
                                   </label></div>"
do,Заполните пропуск,do,[],"""You must always do what he wants you to,"" continued the oldest, ""or he will begin to growl.""",missing_word,"<input class=""form-control"" type=""text"" id=""t84"" onchange=""myFunction('do', 't84', 'p84')"">","""You must always <input class=""form-control"" type=""text"" id=""t84"" onchange=""myFunction('do', 't84', 'p84')""> what he wants you to,"" continued the oldest, ""or he will begin to growl."""
bears,Выберите слово,bears,"['lions', 'bears', 'bear']","And the second added, ""But the wedding will be merry, for bears dance well.""",select_word,"<select class=""form-select"" id=""s85"" onchange=""myFunction('bears', 's85', 'p85')""><option selected>–––</option><option value=""lions"">lions</option><option value=""bears"">bears</option><option value=""bear"">bear</option></select>","And the second added, ""But the wedding will be merry, for <select class=""form-select"" id=""s85"" onchange=""myFunction('bears', 's85', 'p85')""><option selected>–––</option><option value=""lions"">lions</option><option value=""bears"">bears</option><option value=""bear"">bear</option></select> dance well."""
bride,Заполните пропуск,bride,[],The bride-to-be said nothing and did not let them irritate her.,missing_word,"<input class=""form-control"" type=""text"" id=""t86"" onchange=""myFunction('bride', 't86', 'p86')"">","The <input class=""form-control"" type=""text"" id=""t86"" onchange=""myFunction('bride', 't86', 'p86')"">-to-be said nothing and did not let them irritate her."
"Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him.",Какое предложение верно?,"Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him.","['Bearskin, but, travelled about the europe from one next to another, would very wherever he could, and give doled to the because that they might prayers for him.', 'Bearskin, caused, arrived about the worst from one the to another, not worse wherever he could, and saw doled to the caused that they might mourn for him.', 'Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him.']","Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r87-0"" name=""rname87"" 
                                     onchange='myFunction(""Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him."", ""r87-0"", ""p87"")'
                                     value=""Bearskin, but, travelled about the europe from one next to another, would very wherever he could, and give doled to the because that they might prayers for him."">
                                   <label class=""form-check-label"" for=""r87-0"">Bearskin, but, travelled about the europe from one next to another, would very wherever he could, and give doled to the because that they might prayers for him.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r87-1"" name=""rname87"" 
                                     onchange='myFunction(""Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him."", ""r87-1"", ""p87"")'
                                     value=""Bearskin, caused, arrived about the worst from one the to another, not worse wherever he could, and saw doled to the caused that they might mourn for him."">
                                   <label class=""form-check-label"" for=""r87-1"">Bearskin, caused, arrived about the worst from one the to another, not worse wherever he could, and saw doled to the caused that they might mourn for him.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r87-2"" name=""rname87"" 
                                     onchange='myFunction(""Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him."", ""r87-2"", ""p87"")'
                                     value=""Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him."">
                                   <label class=""form-check-label"" for=""r87-2"">Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r87-0"" name=""rname87"" 
                                     onchange='myFunction(""Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him."", ""r87-0"", ""p87"")'
                                     value=""Bearskin, but, travelled about the europe from one next to another, would very wherever he could, and give doled to the because that they might prayers for him."">
                                   <label class=""form-check-label"" for=""r87-0"">Bearskin, but, travelled about the europe from one next to another, would very wherever he could, and give doled to the because that they might prayers for him.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r87-1"" name=""rname87"" 
                                     onchange='myFunction(""Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him."", ""r87-1"", ""p87"")'
                                     value=""Bearskin, caused, arrived about the worst from one the to another, not worse wherever he could, and saw doled to the caused that they might mourn for him."">
                                   <label class=""form-check-label"" for=""r87-1"">Bearskin, caused, arrived about the worst from one the to another, not worse wherever he could, and saw doled to the caused that they might mourn for him.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r87-2"" name=""rname87"" 
                                     onchange='myFunction(""Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him."", ""r87-2"", ""p87"")'
                                     value=""Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him."">
                                   <label class=""form-check-label"" for=""r87-2"">Bearskin, however, traveled about the world from one place to another, did good wherever he could, and gave generously to the poor that they might pray for him.
                                   </label></div>"
object of preposition,Чем является выделенная фраза?,the seven years,"['nominal subject', 'object of preposition', 'direct object']","Finally, at dawn on the last day of the seven years, he went once more out to the heath, and seated himself beneath the circle of trees.",noun_phrases,"<strong>the seven years</strong> <select class=""form-select"" id=""s88"" onchange=""myFunction('object of preposition', 's88', 'p88')""><option selected>–––</option><option value=""nominal subject"">nominal subject</option><option value=""object of preposition"">object of preposition</option><option value=""direct object"">direct object</option></select>","Finally, at dawn on the last day of <strong>the seven years</strong> <select class=""form-select"" id=""s88"" onchange=""myFunction('object of preposition', 's88', 'p88')""><option selected>–––</option><option value=""nominal subject"">nominal subject</option><option value=""object of preposition"">object of preposition</option><option value=""direct object"">direct object</option></select>, he went once more out to the heath, and seated himself beneath the circle of trees."
 , , , ,"Before long the wind began to howl, and the devil stood before him, looking at him angrily.", , ,"Before long the wind began to howl, and the devil stood before him, looking at him angrily."
green,Выберите слово,green,"['green', 'red', 'blue']",He threw Bearskin's old jacket to him and demanded the return of his own green one.,select_word,"<select class=""form-select"" id=""s90"" onchange=""myFunction('green', 's90', 'p90')""><option selected>–––</option><option value=""green"">green</option><option value=""red"">red</option><option value=""blue"">blue</option></select>","He threw Bearskin's old jacket to him and demanded the return of his own <select class=""form-select"" id=""s90"" onchange=""myFunction('green', 's90', 'p90')""><option selected>–––</option><option value=""green"">green</option><option value=""red"">red</option><option value=""blue"">blue</option></select> one."
